num,tempo_funcao,tempo_usuario,tempo_sistema
761,3.6e-06,0.015179,0.006757
762,3.7e-06,0.015179,0.006774
763,3.6e-06,0.015179,0.006792
764,4.1e-06,0.015179,0.006811
765,3.6e-06,0.015179,0.00683
766,3.6e-06,0.015179,0.006848
767,3.8e-06,0.015179,0.006867
768,3.5e-06,0.015179,0.006888
769,3.6e-06,0.015179,0.006912
770,3.7e-06,0.015179,0.006936
771,5.6e-06,0.015179,0.006966
772,3.4e-06,0.015179,0.006988
773,3.3e-06,0.015179,0.007004
774,4.1e-06,0.015179,0.007022
775,4.6e-06,0.015179,0.00704
776,3.3e-06,0.015179,0.007056
777,4.3e-06,0.015179,0.007072
778,3.7e-06,0.015179,0.007089
779,3.5e-06,0.015179,0.007105
780,3.9e-06,0.015179,0.007122
781,3.3e-06,0.015179,0.007137
782,3.5e-06,0.015179,0.007154
783,3.7e-06,0.015179,0.007171
784,3.4e-06,0.015179,0.007187
785,3.3e-06,0.015179,0.007203
786,3.5e-06,0.015179,0.007219
787,3.5e-06,0.015179,0.007234
788,5e-06,0.015179,0.007252
789,4.1e-06,0.015179,0.007269
790,3.5e-06,0.015179,0.007285
791,3.3e-06,0.015179,0.007301
792,3.4e-06,0.015179,0.007317
793,3.9e-06,0.015179,0.007333
794,3.4e-06,0.015179,0.007349
795,3.6e-06,0.015179,0.007365
796,3.5e-06,0.015179,0.007381
797,3.4e-06,0.015179,0.007403
798,3.8e-06,0.015179,0.007466
799,3.9e-06,0.015179,0.007484
800,3.7e-06,0.015179,0.007502
801,3.8e-06,0.015179,0.00752
802,3.7e-06,0.015179,0.007537
803,3.8e-06,0.015179,0.007555
804,3.7e-06,0.015179,0.007572
805,3.7e-06,0.015179,0.00759
806,3.9e-06,0.015179,0.007608
807,3.7e-06,0.015179,0.007626
808,3.6e-06,0.015179,0.007643
809,4.2e-06,0.015179,0.007666
810,3.6e-06,0.015179,0.007686
811,3.4e-06,0.015179,0.007703
812,3.4e-06,0.015179,0.00772
813,4.1e-06,0.015179,0.007741
814,3.8e-06,0.015179,0.007759
